compensation,date,early_access,found_funny,found_helpful,found_unhelpful,hours,page,page_order,product_id,products,recommended,text,user_id,username,,,
,2020-03-18,FALSE,,,,74.1,14,3,292030,19,TRUE,"Yeah I like it
Or perhaps I DID like it, hard to tell right now.
stories great, characters are cool, but it does have a few issues.
The game engine is a little cranky, it works OK mostly but NPCs do glitch,  controls & menus can be buggy forcing you to save and exit to regain functions.
It's also not the kinda game you can dive into for a half hour here or there,  just beware of that.
On the whole though....
Toss a coin to your Witcher,",7.65612E+16,andy_wxm,,,
,2020-03-18,FALSE,,,,5.5,14,4,292030,191,TRUE,Game of the Decade.,,Dragoon,,,
,2020-03-18,FALSE,2,,,487.5,14,5,292030,184,TRUE,I've spent more time with this game than I have with my wife.,,SharpCircle,,,
,2020-03-18,FALSE,,,,155.2,14,6,292030,225,TRUE,"Its a game where you hit interdimensional creatures with a sword.  You play as an old man who has got serious old man strength, its fun.  Also you get to have virtual sex thats always a plus.",7.65612E+16,[Myrm] snowlulz,,,
Product received for free,2020-03-18,FALSE,,,,12.3,14,7,292030,29,TRUE,Great game,7.65612E+16,Monger,,,
,2020-03-18,FALSE,,,,252.9,14,8,292030,13,TRUE,"Love the story, atmosphere and abundance of stuff to do.",7.65612E+16,Genetick,,,
,2020-03-18,FALSE,,,,89,14,9,292030,3,TRUE,hmmmm,7.65612E+16,Chon map,,,
,2020-03-18,FALSE,,,,42.5,15,0,292030,123,TRUE,have not finished it but its the only rpg where i really care about the story,7.65612E+16,Leemo,,,
,2020-03-18,FALSE,,,,75.1,15,1,292030,5,TRUE,The best!,7.65612E+16,aybandyerald,,,
,2020-03-18,FALSE,,,,13.7,15,2,292030,12,TRUE,"ofcox this is a good game, what u mean by review lel",,BOY-R,,,
